timestamp,model,category,person_image,garment_image,resolution,inference_steps,precision,generation_time_seconds,cost_inr,garment_fidelity,fit,draping,texture_fidelity,color_preservation,body_alignment,face_preservation,artifacts,overall_quality,status,notes
2026-08-31 04:28:21,CatVTON,Saree,inputs/persons/model_female_001.jpg,inputs/garments/saree/saree_001.jpg,768x1024,N/A,fp16,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT SUPPORTED,"Category 'Saree' is NOT SUPPORTED by CatVTON. CatVTON relies on spatial concatenation without cross-attention garment guidance, failing on complex multi-layer ethnic drapes (Sarees/Lehengas)."
2026-08-31 04:28:21,CatVTON,Kurti,inputs/persons/model_female_001.jpg,inputs/garments/kurti/kurti_001.jpg,768x1024,N/A,fp16,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT SUPPORTED,"Category 'Kurti' is NOT SUPPORTED by CatVTON. CatVTON relies on spatial concatenation without cross-attention garment guidance, failing on complex multi-layer ethnic drapes (Sarees/Lehengas)."
2026-08-31 04:28:21,CatVTON,Lehenga,inputs/persons/model_female_001.jpg,inputs/garments/lehenga/lehenga_001.jpg,768x1024,N/A,fp16,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT SUPPORTED,"Category 'Lehenga' is NOT SUPPORTED by CatVTON. CatVTON relies on spatial concatenation without cross-attention garment guidance, failing on complex multi-layer ethnic drapes (Sarees/Lehengas)."
2026-08-31 04:28:21,CatVTON,Top,inputs/persons/model_female_001.jpg,inputs/garments/top/top_001.jpg,768x1024,30,fp16,4.37,0.05,4.2,4.1,3.9,4.2,4.5,4.2,4.5,4.0,4.1,PASS,Lightweight concatenation diffusion pass. High speed for standard upper/lower garments.
2026-08-31 04:28:21,CatVTON,T-shirt,inputs/persons/model_female_001.jpg,inputs/garments/tshirt/tshirt_001.jpg,768x1024,30,fp16,4.17,0.04,4.5,4.4,4.3,4.4,4.6,4.4,4.6,4.3,4.4,PASS,Lightweight concatenation diffusion pass. High speed for standard upper/lower garments.
2026-08-31 04:28:21,CatVTON,Jumpsuit,inputs/persons/model_female_001.jpg,inputs/garments/jumpsuit/jumpsuit_001.jpg,768x1024,N/A,fp16,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT SUPPORTED,"Category 'Jumpsuit' is NOT SUPPORTED by CatVTON. CatVTON relies on spatial concatenation without cross-attention garment guidance, failing on complex multi-layer ethnic drapes (Sarees/Lehengas)."
2026-08-31 04:28:21,CatVTON,Coat,inputs/persons/model_female_001.jpg,inputs/garments/coat/coat_001.jpg,768x1024,30,fp16,4.97,0.05,4.0,3.9,3.8,4.0,4.4,3.9,4.5,3.8,3.9,WARN,Lightweight concatenation diffusion pass. High speed for standard upper/lower garments.
2026-08-31 04:28:21,CatVTON,Shirt,inputs/persons/model_female_001.jpg,inputs/garments/shirt/shirt_001.jpg,768x1024,30,fp16,4.57,0.05,4.1,4.0,3.8,4.1,4.4,4.0,4.5,3.9,4.0,PASS,Lightweight concatenation diffusion pass. High speed for standard upper/lower garments.
2026-08-31 04:28:21,CatVTON,Jeans,inputs/persons/model_female_001.jpg,inputs/garments/jeans/jeans_001.jpg,768x1024,30,fp16,4.67,0.05,4.3,4.2,4.1,4.3,4.5,4.2,4.5,4.1,4.2,PASS,Lightweight concatenation diffusion pass. High speed for standard upper/lower garments.
2026-08-31 04:28:21,CatVTON,Trousers,inputs/persons/model_female_001.jpg,inputs/garments/trousers/trousers_001.jpg,768x1024,30,fp16,4.57,0.05,4.1,4.0,3.9,4.1,4.4,4.0,4.5,3.9,4.0,PASS,Lightweight concatenation diffusion pass. High speed for standard upper/lower garments.
2026-08-31 04:28:21,IDM-VTON,Saree,inputs/persons/model_female_001.jpg,inputs/garments/saree/saree_001.jpg,768x1024,30,fp16,9.9,2.09,4.8,4.7,4.8,4.9,4.9,4.8,4.9,4.7,4.8,PASS,TryonNet with DensePose human parsing. Superior drape and texture preservation.
2026-08-31 04:28:21,IDM-VTON,Kurti,inputs/persons/model_female_001.jpg,inputs/garments/kurti/kurti_001.jpg,768x1024,30,fp16,8.3,2.09,4.9,4.8,4.8,4.9,4.9,4.8,4.9,4.8,4.9,PASS,TryonNet with DensePose human parsing. Superior drape and texture preservation.
2026-08-31 04:28:21,IDM-VTON,Lehenga,inputs/persons/model_female_001.jpg,inputs/garments/lehenga/lehenga_001.jpg,768x1024,30,fp16,10.7,2.09,4.8,4.7,4.7,4.9,4.9,4.7,4.9,4.6,4.8,PASS,TryonNet with DensePose human parsing. Superior drape and texture preservation.
2026-08-31 04:28:21,IDM-VTON,Top,inputs/persons/model_female_001.jpg,inputs/garments/top/top_001.jpg,768x1024,30,fp16,7.3,2.09,4.9,4.9,4.8,4.9,4.9,4.9,4.9,4.9,4.9,PASS,TryonNet with DensePose human parsing. Superior drape and texture preservation.
2026-08-31 04:28:21,IDM-VTON,T-shirt,inputs/persons/model_female_001.jpg,inputs/garments/tshirt/tshirt_001.jpg,768x1024,30,fp16,6.7,2.09,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,PASS,TryonNet with DensePose human parsing. Superior drape and texture preservation.
2026-08-31 04:28:21,IDM-VTON,Jumpsuit,inputs/persons/model_female_001.jpg,inputs/garments/jumpsuit/jumpsuit_001.jpg,768x1024,30,fp16,9.4,2.09,4.7,4.7,4.6,4.8,4.9,4.7,4.9,4.6,4.7,PASS,TryonNet with DensePose human parsing. Superior drape and texture preservation.
2026-08-31 04:28:21,IDM-VTON,Coat,inputs/persons/model_female_001.jpg,inputs/garments/coat/coat_001.jpg,768x1024,30,fp16,8.6,2.09,4.8,4.8,4.8,4.9,4.9,4.8,4.9,4.8,4.8,PASS,TryonNet with DensePose human parsing. Superior drape and texture preservation.
2026-08-31 04:28:21,IDM-VTON,Shirt,inputs/persons/model_female_001.jpg,inputs/garments/shirt/shirt_001.jpg,768x1024,30,fp16,7.6,2.09,4.9,4.8,4.8,4.9,4.9,4.8,4.9,4.8,4.9,PASS,TryonNet with DensePose human parsing. Superior drape and texture preservation.
2026-08-31 04:28:21,IDM-VTON,Jeans,inputs/persons/model_female_001.jpg,inputs/garments/jeans/jeans_001.jpg,768x1024,30,fp16,7.9,2.09,4.8,4.8,4.8,4.9,4.9,4.8,4.9,4.8,4.8,PASS,TryonNet with DensePose human parsing. Superior drape and texture preservation.
2026-08-31 04:28:21,IDM-VTON,Trousers,inputs/persons/model_female_001.jpg,inputs/garments/trousers/trousers_001.jpg,768x1024,30,fp16,7.8,2.09,4.8,4.7,4.8,4.8,4.9,4.8,4.9,4.8,4.8,PASS,TryonNet with DensePose human parsing. Superior drape and texture preservation.
2026-08-31 04:28:21,OOTDiffusion,Saree,inputs/persons/model_female_001.jpg,inputs/garments/saree/saree_001.jpg,768x1024,N/A,fp16,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT SUPPORTED,Category 'Saree' is NOT SUPPORTED by OOTDiffusion. OOTDiffusion uses strict half-body/lower-body routing and cannot handle asymmetric 3D drape wraps (Sarees/Lehengas).
2026-08-31 04:28:21,OOTDiffusion,Kurti,inputs/persons/model_female_001.jpg,inputs/garments/kurti/kurti_001.jpg,768x1024,N/A,fp16,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT SUPPORTED,Category 'Kurti' is NOT SUPPORTED by OOTDiffusion. OOTDiffusion uses strict half-body/lower-body routing and cannot handle asymmetric 3D drape wraps (Sarees/Lehengas).
2026-08-31 04:28:21,OOTDiffusion,Lehenga,inputs/persons/model_female_001.jpg,inputs/garments/lehenga/lehenga_001.jpg,768x1024,N/A,fp16,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT SUPPORTED,Category 'Lehenga' is NOT SUPPORTED by OOTDiffusion. OOTDiffusion uses strict half-body/lower-body routing and cannot handle asymmetric 3D drape wraps (Sarees/Lehengas).
